Week,Game,Winner,Points,User,Picked_Team,Status,Points_Earned
1,DAL @ PHI,PHI,2,john,DAL,Incorrect,0
1,KC @ LAC,LAC,2,john,KC,Incorrect,0
1,TB @ ATL,TB,1,john,TB,Correct,1
1,CIN @ CLE,CIN,1,john,CIN,Correct,1
1,MIA @ IND,IND,1,john,MIA,Incorrect,0
1,LV @ NE,LV,1,john,NE,Incorrect,0
1,ARI @ NO,ARI,1,john,ARI,Correct,1
1,NYG @ WAS,WAS,1,john,WAS,Correct,1
1,PIT @ NYJ,PIT,1,john,PIT,Correct,1
1,CAR @ JAC,JAC,1,john,JAC,Correct,1
1,TEN @ DEN,DEN,1,john,DEN,Correct,1
1,SF @ SEA,SF,1,john,SF,Correct,1
1,DET @ GB,GB,1,john,DET,Incorrect,0
1,HOU @ LA,LA,1,john,LA,Correct,1
1,BAL @ BUF,BUF,1,john,BAL,Incorrect,0
1,MIN @ CHI,MIN,2,john,MIN,Correct,2
1,DAL @ PHI,PHI,2,laura,PHI,Correct,2
1,KC @ LAC,LAC,2,laura,KC,Incorrect,0
1,TB @ ATL,TB,1,laura,TB,Correct,1
1,CIN @ CLE,CIN,1,laura,CIN,Correct,1
1,MIA @ IND,IND,1,laura,IND,Correct,1
1,LV @ NE,LV,1,laura,NE,Incorrect,0
1,ARI @ NO,ARI,1,laura,ARI,Correct,1
1,NYG @ WAS,WAS,1,laura,WAS,Correct,1
1,PIT @ NYJ,PIT,1,laura,NYJ,Incorrect,0
1,CAR @ JAC,JAC,1,laura,JAC,Correct,1
1,TEN @ DEN,DEN,1,laura,DEN,Correct,1
1,SF @ SEA,SF,1,laura,SF,Correct,1
1,DET @ GB,GB,1,laura,GB,Correct,1
1,HOU @ LA,LA,1,laura,HOU,Incorrect,0
1,BAL @ BUF,BUF,1,laura,BUF,Correct,1
1,MIN @ CHI,MIN,2,laura,MIN,Correct,2
1,DAL @ PHI,PHI,2,leonard,PHI,Correct,2
1,KC @ LAC,LAC,2,leonard,KC,Incorrect,0
1,TB @ ATL,TB,1,leonard,TB,Correct,1
1,CIN @ CLE,CIN,1,leonard,CIN,Correct,1
1,MIA @ IND,IND,1,leonard,MIA,Incorrect,0
1,LV @ NE,LV,1,leonard,NE,Incorrect,0
1,ARI @ NO,ARI,1,leonard,ARI,Correct,1
1,NYG @ WAS,WAS,1,leonard,WAS,Correct,1
1,PIT @ NYJ,PIT,1,leonard,PIT,Correct,1
1,CAR @ JAC,JAC,1,leonard,CAR,Incorrect,0
1,TEN @ DEN,DEN,1,leonard,DEN,Correct,1
1,SF @ SEA,SF,1,leonard,SF,Correct,1
1,DET @ GB,GB,1,leonard,GB,Correct,1
1,HOU @ LA,LA,1,leonard,LA,Correct,1
1,BAL @ BUF,BUF,1,leonard,BAL,Incorrect,0
1,MIN @ CHI,MIN,2,leonard,MIN,Correct,2
